date,vendor_id,rate
2019-08-18,5,0.15
2019-08-18,6,0.11
2019-08-18,7,0.25
2019-08-18,8,0.24
2019-08-18,9,0.21
2019-08-19,1,0.21
2019-08-19,2,0.21
2019-08-19,3,0.07
2019-08-19,4,0.3
2019-08-19,5,0.28
2019-08-19,6,0.07
2019-08-19,7,0.29
2019-08-19,8,0.28
2019-08-19,9,0.12
2019-08-20,1,0.19
2019-08-20,2,0.29
2019-08-20,3,0.21
2019-08-20,4,0.15
2019-08-20,5,0.18
2019-08-20,6,0.28
2019-08-20,7,0.13
2019-08-20,8,0.07
2019-08-20,9,0.16
2019-08-21,1,0.21
2019-08-21,2,0.06
2019-08-21,3,0.07
2019-08-21,4,0.18
2019-08-21,5,0.13
2019-08-21,6,0.23
2019-08-21,7,0.26
2019-08-21,8,0.28
2019-08-21,9,0.09
2019-08-22,1,0.24
2019-08-22,2,0.2
2019-08-22,3,0.16
2019-08-22,4,0.18
2019-08-22,5,0.2
2019-08-22,6,0.11
2019-08-22,7,0.07
2019-08-22,8,0.21
2019-08-22,9,0.23
2019-08-23,1,0.3
2019-08-23,2,0.29
2019-08-23,3,0.23
2019-08-23,4,0.09
2019-08-23,5,0.21
2019-08-23,6,0.08
2019-08-23,7,0.27
2019-08-23,8,0.2
2019-08-23,9,0.07
2019-08-24,1,0.28
2019-08-24,2,0.11
2019-08-24,3,0.29
2019-08-24,4,0.19
2019-08-24,5,0.09
2019-08-24,6,0.28
2019-08-24,7,0.26
2019-08-24,8,0.22
2019-08-24,9,0.06
2019-08-25,1,0.2
2019-08-25,2,0.19
2019-08-25,3,0.23
2019-08-25,4,0.29
2019-08-25,5,0.19
2019-08-25,6,0.13
2019-08-25,7,0.16
2019-08-25,8,0.28
2019-08-25,9,0.07
2019-08-26,1,0.07
2019-08-26,2,0.21
2019-08-26,3,0.13
2019-08-26,4,0.2
2019-08-26,5,0.2
2019-08-26,6,0.24
2019-08-26,7,0.19
2019-08-26,8,0.16
2019-08-26,9,0.23
2019-08-27,1,0.07
2019-08-27,2,0.3
2019-08-27,3,0.15
2019-08-27,4,0.08
2019-08-27,5,0.16
2019-08-27,6,0.2
2019-08-27,7,0.1
2019-08-27,8,0.05
2019-08-27,9,0.1
2019-08-28,1,0.13
2019-08-28,2,0.16
2019-08-28,3,0.24
2019-08-28,4,0.17
2019-08-28,5,0.19
2019-08-28,6,0.09
2019-08-28,7,0.15
2019-08-28,8,0.26
2019-08-28,9,0.18
2019-08-29,1,0.19
2019-08-29,2,0.28
2019-08-29,3,0.24
2019-08-29,4,0.15
2019-08-29,5,0.3
2019-08-29,6,0.09
2019-08-29,7,0.07
2019-08-29,8,0.08
2019-08-29,9,0.13
2019-08-30,1,0.16
2019-08-30,2,0.1
2019-08-30,3,0.27
2019-08-30,4,0.22
2019-08-30,5,0.26
2019-08-30,6,0.19
2019-08-30,7,0.24
2019-08-30,8,0.3
2019-08-30,9,0.3
2019-08-31,1,0.16
2019-08-31,2,0.1
2019-08-31,3,0.07
2019-08-31,4,0.14
2019-08-31,5,0.14
2019-08-31,6,0.19
2019-08-31,7,0.2
2019-08-31,8,0.29
2019-08-31,9,0.08
2019-09-01,1,0.26
2019-09-01,2,0.11
2019-09-01,3,0.14
2019-09-01,4,0.2
2019-09-01,5,0.16
2019-09-01,6,0.21
2019-09-01,7,0.09
2019-09-01,8,0.16
2019-09-01,9,0.19
2019-09-02,1,0.26
2019-09-02,2,0.07
2019-09-02,3,0.25
2019-09-02,4,0.21
2019-09-02,5,0.25
2019-09-02,6,0.12
2019-09-02,7,0.05
2019-09-02,8,0.1
2019-09-02,9,0.11
2019-09-03,1,0.23
2019-09-03,2,0.18
2019-09-03,3,0.14
2019-09-03,4,0.26
2019-09-03,5,0.26
2019-09-03,6,0.1
2019-09-03,7,0.17
2019-09-03,8,0.29
2019-09-03,9,0.22
2019-09-04,1,0.27
2019-09-04,2,0.2
2019-09-04,3,0.26
2019-09-04,4,0.06
2019-09-04,5,0.29
2019-09-04,6,0.13
2019-09-04,7,0.12
2019-09-04,8,0.15
2019-09-04,9,0.1
2019-09-05,1,0.06
2019-09-05,2,0.09
2019-09-05,3,0.24
2019-09-05,4,0.26
2019-09-05,5,0.29
2019-09-05,6,0.15
2019-09-05,7,0.09
2019-09-05,8,0.19
2019-09-05,9,0.21
2019-09-06,1,0.21
2019-09-06,2,0.05
2019-09-06,3,0.27
2019-09-06,4,0.05
2019-09-06,5,0.09
2019-09-06,6,0.19
2019-09-06,7,0.23
2019-09-06,8,0.17
2019-09-06,9,0.07
2019-09-07,1,0.2
2019-09-07,2,0.13
2019-09-07,3,0.18
2019-09-07,4,0.21
2019-09-07,5,0.09
2019-09-07,6,0.05
2019-09-07,7,0.26
2019-09-07,8,0.29
2019-09-07,9,0.06
2019-09-08,1,0.25
2019-09-08,2,0.26
2019-09-08,3,0.28
2019-09-08,4,0.3
2019-09-08,5,0.17
2019-09-08,6,0.21
2019-09-08,7,0.15
2019-09-08,8,0.21
2019-09-08,9,0.16
2019-09-09,1,0.25
2019-09-09,2,0.22
2019-09-09,3,0.07
2019-09-09,4,0.19
2019-09-09,5,0.22
2019-09-09,6,0.07
2019-09-09,7,0.24
2019-09-09,8,0.16
2019-09-09,9,0.07
2019-09-10,1,0.05
2019-09-10,2,0.14
2019-09-10,3,0.07
2019-09-10,4,0.09
2019-09-10,5,0.27
2019-09-10,6,0.24
2019-09-10,7,0.18
2019-09-10,8,0.21
2019-09-10,9,0.17
2019-09-11,1,0.22
2019-09-11,2,0.08
2019-09-11,3,0.17
2019-09-11,4,0.09
2019-09-11,5,0.13
2019-09-11,6,0.14
2019-09-11,7,0.24
2019-09-11,8,0.28
2019-09-11,9,0.24
2019-09-12,1,0.05
2019-09-12,2,0.13
2019-09-12,3,0.21
2019-09-12,4,0.16
2019-09-12,5,0.14
2019-09-12,6,0.14
2019-09-12,7,0.13
2019-09-12,8,0.14
2019-09-12,9,0.21
2019-09-13,1,0.07
2019-09-13,2,0.2
2019-09-13,3,0.1
2019-09-13,4,0.14
2019-09-13,5,0.21
2019-09-13,6,0.19
2019-09-13,7,0.06
2019-09-13,8,0.12
2019-09-13,9,0.09
2019-09-14,1,0.08
2019-09-14,2,0.08
2019-09-14,3,0.27
2019-09-14,4,0.24
2019-09-14,5,0.15
2019-09-14,6,0.3
2019-09-14,7,0.3
2019-09-14,8,0.1
2019-09-14,9,0.15
2019-09-15,1,0.27
2019-09-15,2,0.19
2019-09-15,3,0.12
2019-09-15,4,0.21
2019-09-15,5,0.3
2019-09-15,6,0.09
2019-09-15,7,0.27
2019-09-15,8,0.29
2019-09-15,9,0.28
2019-09-16,1,0.25
2019-09-16,2,0.25
2019-09-16,3,0.2
2019-09-16,4,0.25
2019-09-16,5,0.08
2019-09-16,6,0.08
2019-09-16,7,0.3
2019-09-16,8,0.08
2019-09-16,9,0.28
2019-09-17,1,0.29
2019-09-17,2,0.27
2019-09-17,3,0.19
2019-09-17,4,0.13
2019-09-17,5,0.23
2019-09-17,6,0.24
2019-09-17,7,0.23
2019-09-17,8,0.1
2019-09-17,9,0.08
2019-09-18,1,0.23
2019-09-18,2,0.24
2019-09-18,3,0.2
2019-09-18,4,0.06
2019-09-18,5,0.23
2019-09-18,6,0.22
2019-09-18,7,0.08
2019-09-18,8,0.28
2019-09-18,9,0.25
2019-09-19,1,0.12
2019-09-19,2,0.14
2019-09-19,3,0.12
2019-09-19,4,0.05
2019-09-19,5,0.29
2019-09-19,6,0.28
2019-09-19,7,0.11
2019-09-19,8,0.14
2019-09-19,9,0.07
2019-09-20,1,0.2
2019-09-20,2,0.07
2019-09-20,3,0.09
2019-09-20,4,0.1
2019-09-20,5,0.1
2019-09-20,6,0.08
2019-09-20,7,0.27
2019-09-20,8,0.21
2019-09-20,9,0.07
2019-09-21,1,0.2
2019-09-21,2,0.06
2019-09-21,3,0.15
2019-09-21,4,0.13
2019-09-21,5,0.23
2019-09-21,6,0.23
2019-09-21,7,0.24
2019-09-21,8,0.18
2019-09-21,9,0.28
2019-09-22,1,0.11
2019-09-22,2,0.15
2019-09-22,3,0.14
2019-09-22,4,0.12
2019-09-22,5,0.24
2019-09-22,6,0.27
2019-09-22,7,0.27
2019-09-22,8,0.06
2019-09-22,9,0.14
2019-09-23,1,0.17
2019-09-23,2,0.29
2019-09-23,3,0.24
2019-09-23,4,0.15
2019-09-23,5,0.08
2019-09-23,6,0.24
2019-09-23,7,0.27
2019-09-23,8,0.08
2019-09-23,9,0.11
2019-09-24,1,0.21
2019-09-24,2,0.2
2019-09-24,3,0.15
2019-09-24,4,0.15
2019-09-24,5,0.09
2019-09-24,6,0.29
2019-09-24,7,0.19
2019-09-24,8,0.16
2019-09-24,9,0.24
2019-09-25,1,0.13
2019-09-25,2,0.27
2019-09-25,3,0.26
2019-09-25,4,0.19
2019-09-25,5,0.3
2019-09-25,6,0.05
2019-09-25,7,0.3
2019-09-25,8,0.1
2019-09-25,9,0.18
2019-09-26,1,0.22
2019-09-26,2,0.18
2019-09-26,3,0.15
2019-09-26,4,0.16
2019-09-26,5,0.09
2019-09-26,6,0.17
2019-09-26,7,0.14
2019-09-26,8,0.2
2019-09-26,9,0.21
2019-09-27,1,0.1
2019-09-27,2,0.08
2019-09-27,3,0.06
2019-09-27,4,0.21
2019-09-27,5,0.22
2019-09-27,6,0.06
2019-09-27,7,0.08
2019-09-27,8,0.16
2019-09-27,9,0.08
2019-09-28,1,0.17
2019-09-28,2,0.2
2019-09-28,3,0.21
2019-09-28,4,0.25
2019-09-28,5,0.19
2019-09-28,6,0.28
2019-09-28,7,0.06
2019-09-28,8,0.22
2019-09-28,9,0.3
2019-09-29,1,0.28
2019-09-29,2,0.19
2019-09-29,3,0.16
2019-09-29,4,0.29
2019-09-29,5,0.24
2019-09-29,6,0.11
2019-09-29,7,0.06
2019-09-29,8,0.23
2019-09-29,9,0.21
