id,description
586,Officejet 635
587,Officejet 700
588,Officejet 710
589,Officejet 720
590,Officejet 725
591,Officejet 600 series
592,Officejet 700 series
593,Officejet 4110
594,Officejet 4215
595,Officejet 4315
596,Officejet 4500
597,Officejet 5110
598,Officejet 5510
599,Officejet 5610
600,Officejet 6110
601,Officejet 6210
602,Officejet 6310
603,Officejet 6600 e-All-in-One Printer series-H711
604,Officejet 7110
605,Officejet 7115
606,Officejet 7130
607,Officejet 7135
608,Officejet 7140
609,Officejet 7210
610,Officejet 7310
611,Officejet 7410
612,Officejet 9110
613,Officejet 9120
614,Officejet 9130
615,Officejet d125xi
616,Officejet d135 / d135xi
617,Officejet d145
618,Officejet d155xi
619,Officejet g55 / g55xi
620,Officejet g85 / g85xi
621,Officejet g95
622,Officejet J5700 series
623,Officejet k60 / k60xi
624,Officejet k80 / k80xi
625,Officejet L7500 series
626,Officejet L7600 series
627,Officejet L7700 series
628,Officejet r40 / r40xi
629,Officejet r45
630,Officejet r60
631,Officejet r65
632,Officejet r80 / r80xi
633,Officejet t45 / t45xi
634,Officejet t65 / t65xi
635,Officejet t85
636,Officejet v30
637,Officejet v40 / v40xi
638,Officejet v45
639,Officejet Pro 1150c / 1150cse
640,Officejet Pro 1170c / 1170cse / 1170cxi
641,Officejet Pro 1175c / 1175cse / 1175cxi
642,Officejet Pro 8500
643,Officejet Pro 8500 wireless
644,Officejet Pro 8500 premier
645,Officejet Pro 8600
646,Officejet Pro 8600 Plus
647,Officejet Pro 8600 Premium
648,PSC
649,PSC 300
650,PSC 500 / 500xi
651,PSC 720
652,PSC 750 / 750xi
653,PSC 760
654,PSC 950 / 950xi
655,PSC 1110
656,PSC 1210
657,PSC 1213
658,PSC 1215
659,PSC 1310
660,PSC 1315
661,PSC 1350
662,PSC 1410
663,PSC 1510
664,PSC 1610
665,PSC 2110 / 2110v / 2110xi
666,PSC 2175
667,PSC 2210 / 2210v / 2210xi
668,PSC 2355
669,PSC 2410 Photosmart
670,PSC 2510 Photosmart
671,Photosmart
672,Photosmart (original)
673,Photosmart 100
674,Photosmart 130
675,Photosmart 145
676,Photosmart 230
677,Photosmart 245
678,Photosmart 325
679,Photosmart 335
680,Photosmart 375
681,Photosmart 385
682,Photosmart 475
683,Photosmart 1000 / p1000
684,Photosmart 1115
685,Photosmart 1215
686,Photosmart 1218
687,Photosmart 1315
688,Photosmart 2575
689,Photosmart 2610
690,Photosmart 2710
691,Photosmart 3110
692,Photosmart 3210
693,Photosmart 3310
694,Photosmart 5510 e-All-in-One Printer
695,Photosmart 5514 e-All-in-One Printer
696,Photosmart 5520 e-All-in-One Printer
697,Photosmart 6510 e-All-in-One Printer
698,Photosmart 6520 e-All-in-One Printer
699,Photosmart 7150
700,Photosmart 7260 (Introduced August 2007)
701,Photosmart 7350
702,Photosmart 7355
703,Photosmart 7450
704,Photosmart 7460
705,Photosmart 7510 e-All-in-One Printer
706,Photosmart 7520 e-All-in-One Printer
707,Photosmart 7525 e-All-in-One Printer
708,Photosmart 7550
709,Photosmart 7660
710,Photosmart 7760
711,Photosmart 7960
712,Photosmart 8049/8050
713,Photosmart 8150 (Introduced in 2004)
714,Photosmart 8450
715,Photosmart 8750
716,Photosmart A310
717,Photosmart A510 series
718,Photosmart A610 series
719,Photosmart A710
720,Photosmart C3180
721,Photosmart C4180
722,Photosmart C4280
723,Photosmart C4380
724,Photosmart C4480
725,Photosmart C4580
726,Photosmart C4680
727,Photosmart C4780
728,Photosmart C4795
729,Photosmart C5180
730,Photosmart C5280
731,Photosmart C5380
732,Photosmart C6180 All-in-One Printer
733,Photosmart C6280
734,Photosmart C7180
735,Photosmart C7280
736,Photosmart C7288
737,Photosmart C8180
738,Photosmart D7560
739,Photosmart eStation e-All-in-One Printer – C510a
740,Photosmart p1000
741,Photosmart p1100 / p1100xi
742,Photosmart Plus e-All-in-One Printer – B210a
743,Photosmart Premium e-All-in-One Printer – C310a
744,Photosmart Premium Fax e-All-in-One Printer – C410a
745,Photosmart Wireless e-All-in-One Printer – B110a
746,7210
747,7220
748,7230
749,7250
750,7270
751,7280
752,7290
753,7510
754,7520
755,7730
756,7750
757,7780
758,G-Force
759,DC01
760,DC03
761,DC04
762,DC07
763,DC14
764,DC15
765,DC17
766,DC18
767,DC24
768,DC25
769,DC27
770,DC28
771,DC33
772,DC40
773,DC41
774,DC42
775,DC43
776,DC50
777,DC51
778,DC55
779,IBM 001
780,IBM 003
781,IBM 010
782,IBM 011
783,IBM 012
784,IBM 013
785,IBM 015
786,IBM 016
787,IBM 020
788,IBM 024
789,IBM 026
790,IBM 027
791,IBM 028
792,IBM 029
793,IBM 031
794,IBM 032
795,IBM 033
796,IBM 034
797,IBM 036
798,IBM 037
799,IBM 040
800,IBM 041
801,IBM 043
802,IBM 044
803,IBM 046
804,IBM 047
805,IBM 051
806,IBM 052
807,IBM 053
808,IBM 054
809,IBM 055
810,IBM 056
811,IBM 058
812,IBM 059
813,DynaTAC 8000 Series
814,DynaTAC International Series
815,DynaTAC 6000XL
816,Ultra Classic
817,Ultra Classic II
818,International 1000/2000/2200/2700
819,MicroTAC
820,MicroTAC Classic
821,MicroTAC II
822,MicroTAC Alpha
823,MicroTAC Lite
824,MicroTAC Elite
825,Bag Phone
826,StarTAC
827,Timeport
828,MR30
829,MicroTAC International Series
830,MicroTAC DPC Series
831,StarTAC 2004
832,V3620
833,A008 (Accompli 008)
834,A388 (Accompli 388)
835,A388C (Accompli 388)
836,A760 – Developed and introduced in China
837,A768
838,A768i
839,A853 (MILESTONE)
840,A855 (DROID)
841,A953 (MILESTONE 2)
842,A955 (DROID2)
843,A910/A910i
844,A920
845,A925
846,A1000
847,A1010
848,A1200 (MING)
849,A1600 (MING2)
850,A3100 (SURF)
851,A6288
852,Kwanon
853,Canon
854,Hansa Canon
855,Canon S
856,Canon NS
857,Canon J
858,Canon J II
859,Canon S
860,Canon S II
861,Canon II B
862,Canon II C
863,Canon III
864,Canon IV
865,Canon III A
866,Canon IV S
867,Canon II A
868,Canon II D
869,Canon IV SB
870,Canon II AF
871,Canon II F
872,Canon II AX
873,Canon II S
874,Canon IV Sb2
875,Canon II S2
876,Canon II D2
877,Canon II F2
